jobid,jobname,subtime,stime,etime,qtime,runtime,stime_bin,etime_bin,mem_mb,n_cores,hostname,status
4786055,smk.delly_s,"2018-10-10 15:46:14","2018-10-10 16:18:01","2018-10-10 19:32:40",1907,11679,"2018-10-10 16:00:00","2018-10-10 19:00:00",735,1,tcn700,COMPLETED
4786056,smk.delly_s,"2018-10-10 15:46:14","2018-10-10 16:19:55","2018-10-10 19:26:28",2021,11193,"2018-10-10 16:00:00","2018-10-10 19:00:00",735,1,tcn1595,COMPLETED
4786057,smk.delly_s,"2018-10-10 15:46:15","2018-10-10 16:21:25","2018-10-10 19:26:28",2110,11103,"2018-10-10 16:00:00","2018-10-10 19:00:00",735,1,tcn1158,COMPLETED
4786058,smk.delly_s,"2018-10-10 15:46:15","2018-10-10 16:21:25","2018-10-10 21:21:58",2110,18033,"2018-10-10 16:00:00","2018-10-10 21:00:00",735,1,tcn583,COMPLETED
4786059,smk.delly_s,"2018-10-10 15:46:16","2018-10-10 16:21:37","2018-10-10 19:15:42",2121,10445,"2018-10-10 16:00:00","2018-10-10 19:00:00",1176,1,tcn579,COMPLETED
4786060,smk.manta_s,"2018-10-10 15:46:17","2018-10-10 16:28:55","2018-10-10 20:30:15",2558,14480,"2018-10-10 16:00:00","2018-10-10 20:00:00",6781,24,tcn1311,COMPLETED
4786061,smk.manta_s,"2018-10-10 15:46:17","2018-10-10 16:32:30","2018-10-10 20:31:45",2773,14355,"2018-10-10 16:00:00","2018-10-10 20:00:00",6761,24,tcn1528,COMPLETED
4786062,smk.manta_s,"2018-10-10 15:46:18","2018-10-10 16:32:30","2018-10-10 20:29:56",2772,14246,"2018-10-10 16:00:00","2018-10-10 20:00:00",6841,24,tcn1585,COMPLETED
4786063,smk.delly_s,"2018-10-10 15:46:18","2018-10-10 16:36:05","2018-10-10 19:42:12",2987,11167,"2018-10-10 16:00:00","2018-10-10 19:00:00",735,1,tcn1341,COMPLETED
4786064,smk.delly_s,"2018-10-10 15:46:19","2018-10-10 16:44:13","2018-10-10 19:35:47",3474,10294,"2018-10-10 16:00:00","2018-10-10 19:00:00",735,1,tcn1593,COMPLETED
4786065,smk.delly_s,"2018-10-10 15:46:20","2018-10-10 16:45:23","2018-10-10 19:23:16",3543,9473,"2018-10-10 16:00:00","2018-10-10 19:00:00",1176,1,tcn1584,COMPLETED
4786066,smk.lumpy_s,"2018-10-10 15:46:20","2018-10-10 16:54:37","2018-10-10 17:22:47",4097,1690,"2018-10-10 16:00:00","2018-10-10 17:00:00",8032,1,tcn626,COMPLETED
4786067,smk.delly_s,"2018-10-10 15:46:21","2018-10-10 16:54:37","2018-10-10 19:46:29",4096,10312,"2018-10-10 16:00:00","2018-10-10 19:00:00",735,1,tcn627,COMPLETED
4786068,smk.delly_s,"2018-10-10 15:46:21","2018-10-11 09:41:06","2018-10-11 11:39:34",64485,7108,"2018-10-11 09:00:00","2018-10-11 11:00:00",735,1,tcn894,COMPLETED
4786069,smk.gridss_s,"2018-10-10 15:46:23","2018-10-11 09:41:06","2018-10-11 18:30:03",64483,31737,"2018-10-11 09:00:00","2018-10-11 18:00:00",53682,24,tcn1116,COMPLETED
4786070,smk.gridss_s,"2018-10-10 15:46:25","2018-10-11 09:41:06","2018-10-11 18:31:00",64481,31794,"2018-10-11 09:00:00","2018-10-11 18:00:00",53682,24,tcn1136,COMPLETED
4786071,smk.delly_s,"2018-10-10 15:46:25","2018-10-11 09:42:11","2018-10-11 11:39:34",64546,7043,"2018-10-11 09:00:00","2018-10-11 11:00:00",735,1,tcn1379,COMPLETED
4786072,smk.delly_s,"2018-10-10 15:46:26","2018-10-11 09:41:06","2018-10-11 11:13:43",64480,5557,"2018-10-11 09:00:00","2018-10-11 11:00:00",1176,1,tcn584,COMPLETED
4786073,smk.delly_s,"2018-10-10 15:46:27","2018-10-11 09:41:06","2018-10-11 11:45:53",64479,7487,"2018-10-11 09:00:00","2018-10-11 11:00:00",735,1,tcn590,COMPLETED
4786074,smk.gridss_s,"2018-10-10 15:46:27","2018-10-11 09:41:06","2018-10-11 18:28:31",64479,31645,"2018-10-11 09:00:00","2018-10-11 18:00:00",53682,24,tcn1409,COMPLETED
4786075,smk.delly_s,"2018-10-10 15:46:28","2018-10-11 09:41:06","2018-10-11 14:02:50",64478,15704,"2018-10-11 09:00:00","2018-10-11 14:00:00",735,1,tcn1416,COMPLETED
4786076,smk.delly_s,"2018-10-10 15:46:28","2018-10-11 09:54:26","2018-10-11 11:52:56",65278,7110,"2018-10-11 09:00:00","2018-10-11 11:00:00",735,1,tcn884,COMPLETED
4786077,smk.delly_s,"2018-10-10 15:46:29","2018-10-11 09:55:33","2018-10-11 11:48:36",65344,6783,"2018-10-11 09:00:00","2018-10-11 11:00:00",735,1,tcn1474,COMPLETED
4786078,smk.delly_s,"2018-10-10 15:46:29","2018-10-11 10:10:58","2018-10-11 14:39:52",66269,16134,"2018-10-11 10:00:00","2018-10-11 14:00:00",735,1,tcn710,COMPLETED
4786079,smk.delly_s,"2018-10-10 15:46:30","2018-10-11 10:10:58","2018-10-11 14:39:55",66268,16137,"2018-10-11 10:00:00","2018-10-11 14:00:00",735,1,tcn831,COMPLETED
4786080,smk.delly_s,"2018-10-10 15:46:31","2018-10-11 10:10:58","2018-10-11 14:39:56",66267,16138,"2018-10-11 10:00:00","2018-10-11 14:00:00",735,1,tcn846,COMPLETED
4786081,smk.delly_s,"2018-10-10 15:46:31","2018-10-11 10:10:58","2018-10-11 11:48:36",66267,5858,"2018-10-11 10:00:00","2018-10-11 11:00:00",1176,1,tcn1043,COMPLETED
4786082,smk.manta_s,"2018-10-10 15:46:32","2018-10-11 10:10:58","2018-10-11 12:57:19",66266,9981,"2018-10-11 10:00:00","2018-10-11 12:00:00",6822,24,tcn1044,COMPLETED
4786083,smk.delly_s,"2018-10-10 15:46:32","2018-10-11 10:10:58","2018-10-11 14:35:37",66266,15879,"2018-10-11 10:00:00","2018-10-11 14:00:00",735,1,tcn635,COMPLETED
4786084,smk.delly_s,"2018-10-10 15:46:33","2018-10-11 10:10:58","2018-10-11 14:39:58",66265,16140,"2018-10-11 10:00:00","2018-10-11 14:00:00",735,1,tcn636,COMPLETED
4786085,smk.manta_s,"2018-10-10 15:46:34","2018-10-11 10:10:58","2018-10-11 12:55:28",66264,9870,"2018-10-11 10:00:00","2018-10-11 12:00:00",6807,24,tcn645,COMPLETED
4786086,smk.gridss_s,"2018-10-10 15:46:34","2018-10-11 10:10:58","2018-10-11 19:02:17",66264,31879,"2018-10-11 10:00:00","2018-10-11 19:00:00",53682,24,tcn1355,COMPLETED
4786087,smk.delly_s,"2018-10-10 15:46:35","2018-10-11 10:10:58","2018-10-11 15:03:39",66263,17561,"2018-10-11 10:00:00","2018-10-11 15:00:00",735,1,tcn1356,COMPLETED
4786088,smk.manta_s,"2018-10-10 15:46:35","2018-10-11 10:10:58","2018-10-11 12:56:49",66263,9951,"2018-10-11 10:00:00","2018-10-11 12:00:00",6763,24,tcn1358,COMPLETED
4786089,smk.lumpy_s,"2018-10-10 15:46:36","2018-10-11 10:10:58","2018-10-11 10:39:05",66262,1687,"2018-10-11 10:00:00","2018-10-11 10:00:00",8034,1,tcn1441,COMPLETED
4786090,smk.manta_s,"2018-10-10 15:46:36","2018-10-11 10:10:58","2018-10-11 12:55:42",66262,9884,"2018-10-11 10:00:00","2018-10-11 12:00:00",6776,24,tcn1442,COMPLETED
4786091,smk.delly_s,"2018-10-10 15:46:37","2018-10-11 10:10:58","2018-10-11 14:36:41",66261,15943,"2018-10-11 10:00:00","2018-10-11 14:00:00",735,1,tcn1445,COMPLETED
4786092,smk.gridss_s,"2018-10-10 15:46:38","2018-10-11 10:10:58","2018-10-11 19:06:05",66260,32107,"2018-10-11 10:00:00","2018-10-11 19:00:00",53682,24,tcn1446,COMPLETED
4786093,smk.lumpy_s,"2018-10-10 15:46:38","2018-10-11 10:10:58","2018-10-11 10:38:46",66260,1668,"2018-10-11 10:00:00","2018-10-11 10:00:00",8053,1,tcn1447,COMPLETED
4786094,smk.delly_s,"2018-10-10 15:46:39","2018-10-11 10:10:58","2018-10-11 12:02:30",66259,6692,"2018-10-11 10:00:00","2018-10-11 12:00:00",735,1,tcn1449,COMPLETED
4786095,smk.delly_s,"2018-10-10 15:46:39","2018-10-11 10:10:58","2018-10-11 12:02:30",66259,6692,"2018-10-11 10:00:00","2018-10-11 12:00:00",735,1,tcn1450,COMPLETED
4786096,smk.gridss_s,"2018-10-10 15:46:40","2018-10-11 10:10:58","2018-10-11 19:01:10",66258,31812,"2018-10-11 10:00:00","2018-10-11 19:00:00",53682,24,tcn1452,COMPLETED
4786097,smk.delly_s,"2018-10-10 15:46:41","2018-10-11 10:10:58","2018-10-11 11:47:19",66257,5781,"2018-10-11 10:00:00","2018-10-11 11:00:00",1176,1,tcn1453,COMPLETED
4786098,smk.delly_s,"2018-10-10 15:46:41","2018-10-11 10:10:58","2018-10-11 14:39:54",66257,16136,"2018-10-11 10:00:00","2018-10-11 14:00:00",735,1,tcn1456,COMPLETED
4786099,smk.delly_s,"2018-10-10 15:46:42","2018-10-11 10:10:58","2018-10-11 14:35:37",66256,15879,"2018-10-11 10:00:00","2018-10-11 14:00:00",735,1,tcn1457,COMPLETED
4786100,smk.delly_s,"2018-10-10 15:46:43","2018-10-11 10:10:58","2018-10-11 12:02:30",66255,6692,"2018-10-11 10:00:00","2018-10-11 12:00:00",735,1,tcn653,COMPLETED
4786101,smk.lumpy_s,"2018-10-10 15:46:43","2018-10-11 10:10:58","2018-10-11 10:38:47",66255,1669,"2018-10-11 10:00:00","2018-10-11 10:00:00",8049,1,tcn655,COMPLETED
4787865,smk.delly_merge,"2018-10-11 14:03:02","2018-10-12 06:23:18","2018-10-12 06:23:30",58816,12,"2018-10-12 06:00:00","2018-10-12 06:00:00",185,1,tcn1460,COMPLETED
4787943,smk.delly_merge,"2018-10-11 14:36:15","2018-10-12 06:24:23","2018-10-12 06:24:29",56888,6,"2018-10-12 06:00:00","2018-10-12 06:00:00",185,1,tcn1460,COMPLETED
4787944,smk.delly_merge,"2018-10-11 14:36:15","2018-10-12 06:25:28","2018-10-12 06:25:34",56953,6,"2018-10-12 06:00:00","2018-10-12 06:00:00",185,1,tcn1460,COMPLETED
4787945,smk.delly_merge,"2018-10-11 14:36:47","2018-10-12 10:23:29","2018-10-12 10:23:41",71202,12,"2018-10-12 10:00:00","2018-10-12 10:00:00",185,1,tcn709,COMPLETED
4787975,smk.delly_merge,"2018-10-11 14:40:49","2018-10-12 10:24:33","2018-10-12 10:24:40",71024,7,"2018-10-12 10:00:00","2018-10-12 10:00:00",185,1,tcn709,COMPLETED
4787977,smk.delly_merge,"2018-10-11 14:40:50","2018-10-12 10:25:39","2018-10-12 10:25:45",71089,6,"2018-10-12 10:00:00","2018-10-12 10:00:00",185,1,tcn709,COMPLETED
4787978,smk.delly_merge,"2018-10-11 14:40:51","2018-10-12 10:26:43","2018-10-12 10:26:49",71152,6,"2018-10-12 10:00:00","2018-10-12 10:00:00",185,1,tcn709,COMPLETED
4787979,smk.delly_merge,"2018-10-11 14:40:51","2018-10-12 10:27:47","2018-10-12 10:27:54",71216,7,"2018-10-12 10:00:00","2018-10-12 10:00:00",185,1,tcn709,COMPLETED
4787980,smk.delly_merge,"2018-10-11 14:40:52","2018-10-12 10:28:51","2018-10-12 10:28:57",71279,6,"2018-10-12 10:00:00","2018-10-12 10:00:00",185,1,tcn709,COMPLETED
4788038,smk.delly_merge,"2018-10-11 15:04:08","2018-10-12 10:29:56","2018-10-12 10:30:02",69948,6,"2018-10-12 10:00:00","2018-10-12 10:00:00",185,1,tcn709,COMPLETED
